Date,Open,High,Low,Close,Adj Close,Volume
2019-04-28,0.004521,0.004545,0.004317,0.004421,0.004421,8408136
2019-04-29,0.004418,0.004492,0.003471,0.003471,0.003471,8267044
2019-04-30,0.003462,0.005078,0.003458,0.004478,0.004478,25072706
2019-05-01,0.004440,0.004673,0.004071,0.004374,0.004374,10567352
2019-05-02,0.004366,0.004700,0.004096,0.004198,0.004198,6714908
2019-05-03,0.004192,0.004396,0.003952,0.004256,0.004256,5702394
2019-05-04,0.004256,0.004265,0.003819,0.003968,0.003968,3178995
2019-05-05,0.003969,0.004065,0.003578,0.003747,0.003747,3467564
2019-05-06,0.003746,0.003932,0.003523,0.003769,0.003769,4689162
2019-05-07,0.003768,0.003851,0.003350,0.003364,0.003364,3805657
2019-05-08,0.003343,0.003482,0.003260,0.003352,0.003352,2938835
2019-05-09,0.003351,0.003380,0.003012,0.003141,0.003141,4588498
2019-05-10,0.003143,0.003890,0.003099,0.003770,0.003770,8654899
2019-05-11,0.003775,0.004944,0.003732,0.004608,0.004608,13370479
2019-05-12,0.004619,0.005704,0.004443,0.005273,0.005273,17955639
2019-05-13,0.005273,0.009172,0.005125,0.008667,0.008667,74304041
2019-05-14,0.008548,0.011146,0.007257,0.007753,0.007753,98051040
2019-05-15,0.007731,0.010022,0.007102,0.009512,0.009512,49168290
2019-05-16,0.009549,0.011970,0.008346,0.010909,0.010909,59175168
2019-05-17,0.010863,0.015077,0.009329,0.014353,0.014353,168390964
2019-05-18,0.014353,0.014799,0.012092,0.012293,0.012293,56628223
2019-05-19,0.012320,0.020749,0.012309,0.020231,0.020231,141440073
2019-05-20,0.020231,0.032911,0.019292,0.029343,0.029343,396597433
2019-05-21,0.029349,0.045017,0.025149,0.029454,0.029454,698132268
2019-05-22,0.029454,0.031612,0.020417,0.022186,0.022186,266364855
2019-05-23,0.022186,0.033811,0.021874,0.027273,0.027273,419427516
2019-05-24,0.027429,0.028596,0.022959,0.025363,0.025363,150950422
2019-05-25,0.025363,0.028343,0.023134,0.025002,0.025002,148137222
2019-05-26,0.024888,0.027305,0.023041,0.024399,0.024399,95970365
2019-05-27,0.024386,0.024906,0.020935,0.022173,0.022173,81723337
2019-05-28,0.022252,0.025102,0.021033,0.023642,0.023642,93128408
2019-05-29,0.023642,0.024821,0.022103,0.022108,0.022108,56456075
2019-05-30,0.022108,0.023276,0.018683,0.019793,0.019793,53390395
2019-05-31,0.019793,0.022962,0.019465,0.022288,0.022288,58953725
2019-06-01,0.022200,0.022875,0.020689,0.021059,0.021059,56083345
2019-06-02,0.021059,0.022192,0.019685,0.020114,0.020114,34962106
2019-06-03,0.020114,0.020953,0.018844,0.019113,0.019113,32081991
2019-06-04,0.019168,0.021840,0.018027,0.021228,0.021228,74180051
2019-06-05,0.021307,0.023483,0.019690,0.022862,0.022862,97965656
2019-06-06,0.022839,0.025107,0.021726,0.023727,0.023727,97713487
2019-06-07,0.023677,0.024918,0.022488,0.024509,0.024509,44071890
2019-06-08,0.024413,0.026591,0.023443,0.025906,0.025906,64435870
2019-06-09,0.025876,0.027584,0.024618,0.025499,0.025499,73046408
2019-06-10,0.025467,0.027473,0.023980,0.026975,0.026975,60877107
2019-06-11,0.026987,0.027137,0.023534,0.023764,0.023764,51200991
2019-06-12,0.023812,0.025272,0.023004,0.023217,0.023217,52476410
2019-06-13,0.022943,0.024670,0.022237,0.023107,0.023107,63319867
2019-06-14,0.023182,0.023315,0.019323,0.020646,0.020646,49012105
2019-06-15,0.020686,0.023037,0.020674,0.021899,0.021899,45335051
2019-06-16,0.021899,0.022809,0.020721,0.022716,0.022716,44493232
2019-06-17,0.022647,0.023902,0.021335,0.021751,0.021751,43265637
2019-06-18,0.021767,0.022896,0.021310,0.022449,0.022449,41126019
2019-06-19,0.022462,0.024387,0.022406,0.023088,0.023088,58808815
2019-06-20,0.023054,0.023796,0.021696,0.022446,0.022446,39914360
2019-06-21,0.022445,0.023379,0.020748,0.021226,0.021226,46822448
2019-06-22,0.021170,0.022702,0.020504,0.021843,0.021843,68831297
2019-06-23,0.021839,0.022306,0.020654,0.020988,0.020988,42043311
